Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Time,Day_of_week
Unknown,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,1,8:25:00,Monday
18-30,Male,Elementary school,Owner,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,13:00:00,Tuesday
Under 18,Male,Elementary school,Employee,Below 1yr,Two-way (divided with solid lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,13:00:00,Tuesday
Unknown,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,1,23:45:00,Friday
18-30,Male,Elementary school,Owner,5-10yr,One way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,23:45:00,Friday
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,23:45:00,Friday
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Other,2,20:50:00,Tuesday
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No priority to vehicle,2,20:50:00,Tuesday
31-50,Male,High school,Employee,1-2yr,One way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,10:54:00,Friday
18-30,Male,Elementary school,Employee,5-10yr,Undivided Two way,Unknown,Gravel roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Other,2,16:50:00,Monday
Over 51,Male,Elementary school,Employee,2-5yr,One way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,16:50:00,Monday
Over 51,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,16:50:00,Monday
Over 51,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Other,Collision with pedestrians,Moving Backward,Not a Pedestrian,No distancing,2,18:30:00,Sunday
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Other,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,2,18:30:00,Sunday
31-50,Female,Junior high school,Owner,5-10yr,One way,Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,18:30:00,Sunday
31-50,Female,Elementary school,Employee,1-2yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Moving Backward,2,18:30:00,Sunday
31-50,Male,Junior high school,Employee,Unknown,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,18:30:00,Sunday
Unknown,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,15:50:00,Thursday
31-50,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Unknown,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,15:50:00,Thursday
Under 18,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Other,2,15:40:00,Friday
Over 51,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,15:40:00,Friday
18-30,Female,Elementary school,Owner,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,7:50:00,Thursday
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Moving Backward,1,7:50:00,Thursday
31-50,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to pedestrian,2,17:05:00,Monday
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,15:25:00,Monday
Over 51,Male,High school,Employee,Above 10yr,One way,Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No priority to pedestrian,2,9:45:00,Monday
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,Driving carelessly,2,9:45:00,Monday
Unknown,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Getting off the vehicle improperly,2,9:45:00,Monday
18-30,Male,Junior high school,Employee,Unknown,Two-way (divided with broken lines road marking),Unknown,Earth roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,10:16:00,Friday
Over 51,Male,Elementary school,Employee,1-2yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2,8:54:00,Thursday
18-30,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle,2,13:00:00,Thursday
Under 18,Male,Above high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,13:00:00,Thursday
18-30,Male,Junior high school,Owner,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right,2,17:10:00,Wednesday
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,17:10:00,Wednesday
18-30,Male,Elementary school,Employee,5-10yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,21:00:00,Saturday
Under 18,Male,High school,Owner,Below 1yr,One way,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,2,16:13:00,Wednesday
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the right,2,16:13:00,Wednesday
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,17:20:00,Tuesday
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Changing lane to the left,2,17:20:00,Tuesday
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,22:00:00,Saturday
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Earth roads,Daylight,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,2,7:58:00,Monday
18-30,Male,Junior high school,Owner,Above 10yr,One way,Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Turnover,2,7:58:00,Monday
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,20:16:00,Sunday
Unknown,Male,Junior high school,Employee,1-2yr,One way,Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,20:16:00,Sunday
Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,20:00:00,Saturday
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,18:40:00,Thursday
31-50,Male,High school,Employee,2-5yr,Undivided Two way,Unknown,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,16:31:00,Wednesday
18-30,Male,High school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving at high speed,1,18:45:00,Tuesday
18-30,Unknown,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,Overtaking,2,18:45:00,Tuesday
18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Other,2,15:16:00,Monday
Under 18,Female,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),Unknown,Earth roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the left,1,18:35:00,Wednesday
18-30,Male,Junior high school,Other,No Licence,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to pedestrian,2,18:35:00,Wednesday
31-50,Male,Junior high school,Employee,1-2yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,20:40:00,Tuesday
31-50,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,20:40:00,Tuesday
31-50,Male,Junior high school,Employee,1-2yr,other,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,17:34:00,Monday
18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,17:34:00,Monday
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,20:20:00,Wednesday
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,22:25:00,Friday
31-50,Male,Junior high school,Employee,2-5yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,Moving Backward,2,22:25:00,Friday
18-30,Male,High school,Employee,1-2yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,No distancing,2,22:25:00,Friday
Over 51,Female,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Unknown or other,Changing lane to the left,2,15:10:00,Friday
31-50,Male,Elementary school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,17:10:00,Wednesday
18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Raining,Collision with roadside objects,Other,Not a Pedestrian,No priority to pedestrian,2,17:10:00,Wednesday
18-30,Male,Elementary school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,6:12:00,Saturday
Over 51,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Driving carelessly,2,6:12:00,Saturday
Over 51,Male,Junior high school,Employee,1-2yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,6:12:00,Saturday
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Earth roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to pedestrian,2,11:05:00,Thursday
18-30,Male,High school,Owner,2-5yr,Unknown,Unknown,Asphalt roads,Daylight,Raining,Rollover,Going straight,Crossing from driver's nearside,Getting off the vehicle improperly,2,11:05:00,Thursday
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Crossing from driver's nearside,No distancing,2,17:43:00,Wednesday
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Changing lane to the left,2,17:43:00,Wednesday
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,17:43:00,Wednesday
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,1,17:00:00,Friday
18-30,Male,High school,Employee,Above 10yr,One way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to pedestrian,1,10:07:00,Monday
Over 51,Male,Elementary school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,10:07:00,Monday
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,10:40:00,Monday
31-50,Male,Writing & reading,Employee,2-5yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,2,10:40:00,Monday
18-30,Male,Junior high school,Employee,2-5yr,One way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,2,18:40:00,Friday
18-30,Male,High school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,17:55:00,Saturday
18-30,Male,Junior high school,Employee,1-2yr,One way,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,17:55:00,Saturday
Over 51,Male,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,1,17:57:00,Saturday
18-30,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Unknown,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,17:45:00,Wednesday
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving to the left,2,19:40:00,Monday
31-50,Male,Elementary school,Employee,1-2yr,Two-way (divided with solid lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No priority to pedestrian,2,19:40:00,Monday
31-50,Male,High school,Employee,No Licence,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,1,21:05:00,Thursday
31-50,Male,Junior high school,Owner,5-10yr,One way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the right,1,21:05:00,Thursday
Over 51,Female,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Driving carelessly,1,13:05:00,Monday
Over 51,Female,Junior high school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,13:05:00,Monday
31-50,Female,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Getting off the vehicle improperly,2,4:01:00,Thursday
31-50,Male,Unknown,Unknown,Unknown,One way,Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,13:53:00,Friday
Over 51,Male,Unknown,Unknown,Unknown,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right,2,13:53:00,Friday
31-50,Male,Junior high school,Employee,2-5yr,One way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,17:28:00,Thursday
Over 51,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,12:47:00,Sunday
31-50,Male,Junior high school,Owner,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Turnover,2,12:47:00,Sunday
18-30,Male,Unknown,Unknown,Unknown,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Changing lane to the right,2,13:43:00,Tuesday
31-50,Male,Elementary school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Driving carelessly,2,13:43:00,Tuesday
31-50,Male,Unknown,Unknown,Unknown,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to vehicle,2,12:29:00,Tuesday
18-30,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,Moving Backward,2,12:29:00,Tuesday
31-50,Male,Junior high school,Owner,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the left,2,12:29:00,Tuesday
31-50,Female,High school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Other,Not a Pedestrian,Overturning,2,12:29:00,Tuesday
18-30,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,No distancing,2,8:27:00,Wednesday
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Overtaking,Not a Pedestrian,Driving carelessly,2,8:27:00,Wednesday
Over 51,Male,Elementary school,Owner,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,No distancing,2,8:27:00,Wednesday
Over 51,Male,Junior high school,Owner,Below 1yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the left,2,12:05:00,Friday
Over 51,Male,Junior high school,Owner,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to pedestrian,2,12:05:00,Friday
31-50,Male,Junior high school,Owner,2-5yr,other,Unknown,Earth roads,Daylight,Normal,Collision with animals,U-Turn,Not a Pedestrian,No distancing,2,12:05:00,Friday
31-50,Male,High school,Owner,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No distancing,1,12:51:00,Thursday
31-50,Male,Junior high school,Owner,Unknown,Two-way (divided with solid lines road marking),Unknown,Unknown,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the left,1,12:51:00,Thursday
Under 18,Male,Unknown,Owner,Below 1yr,Two-way (divided with solid lines road marking),Unknown,Asphalt roads,Daylight,Normal,Other,Going straight,Not a Pedestrian,No distancing,2,11:10:00,Sunday
18-30,Male,Elementary school,Owner,Above 10yr,Two-way (divided with solid lines road marking),Unknown,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the left,2,11:10:00,Sunday
31-50,Male,Elementary school,Owner,Below 1yr,Two-way (divided with solid lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Turnover,Unknown or other,No distancing,2,11:10:00,Sunday
31-50,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No distancing,2,11:10:00,Sunday
Over 51,Male,Junior high school,Owner,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No distancing,2,10:30:00,Monday
31-50,Male,Unknown,Owner,Unknown,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Moving Backward,Not a Pedestrian,Changing lane to the left,2,22:25:00,Thursday
31-50,Male,Junior high school,Employee,1-2yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,22:25:00,Thursday
Over 51,Male,High school,Owner,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Fall from vehicles,Moving Backward,Not a Pedestrian,Moving Backward,2,17:27:00,Friday
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Changing lane to the right,2,17:27:00,Friday
Over 51,Female,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Gravel roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,No distancing,2,12:10:00,Tuesday
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Overtaking,2,12:10:00,Tuesday
Over 51,Male,Junior high school,Employee,Above 10yr,One way,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Other,1,8:00:00,Tuesday
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,U-Turn,Not a Pedestrian,Other,2,8:00:00,Tuesday
31-50,Male,Junior high school,Employee,No Licence,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Fall from vehicles,Going straight,Not a Pedestrian,Changing lane to the right,2,8:00:00,Tuesday
18-30,Male,Above high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,No priority to pedestrian,2,17:00:00,Tuesday
Unknown,Female,Elementary school,Employee,5-10yr,other,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to vehicle,2,17:45:00,Wednesday
31-50,Male,Elementary school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the left,2,9:57:00,Thursday
Over 51,Male,Junior high school,Employee,5-10yr,One way,Unknown,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,1,9:57:00,Thursday
31-50,Male,High school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,1,18:00:00,Friday
Unknown,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Stopping,Not a Pedestrian,No distancing,0,18:00:00,Friday
18-30,Male,Junior high school,Employee,2-5yr,One way,Unknown,Asphalt roads,Daylight,Normal,Collision with pedestrians,Turnover,Not a Pedestrian,No priority to vehicle,2,19:00:00,Tuesday
31-50,Male,Writing & reading,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Changing lane to the right,2,19:00:00,Tuesday
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Changing lane to the left,2,19:00:00,Tuesday
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,19:00:00,Tuesday
31-50,Male,Writing & reading,Employee,Below 1yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,13:05:00,Friday
18-30,Male,Elementary school,Employee,1-2yr,Double carriageway (median),Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to pedestrian,2,13:05:00,Friday
Over 51,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,Driving carelessly,2,8:25:00,Wednesday
