Age_band_of_driver,sexe,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Day_of_week,hour
31-50,M,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,Saturday,22
18-30,M,Junior high school,Employee,2-5yr,Unknown,No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to pedestrian,2,Monday,7
18-30,M,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,Moving Backward,Not a Pedestrian,Driving carelessly,2,Monday,7
31-50,M,Above high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right,2,Sunday,20
Unknown,F,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Sunday,20
51,M,Unknown,Employee,1-2yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Other,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,Saturday,20
18-30,M,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Windy,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,Thursday,18
31-50,M,Junior high school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Wednesday,16
18-30,M,Junior high school,Employee,Below 1yr,other,O Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,1,Tuesday,18
18-30,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,Tuesday,18
18-30,M,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Going straight,Crossing from driver's nearside,Changing lane to the right,2,Monday,15
Under 18,M,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Wednesday,18
18-30,M,Above high school,Employee,1-2yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Wednesday,18
31-50,M,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Overturning,2,Tuesday,20
31-50,M,Unknown,Unknown,Unknown,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Reversing,Not a Pedestrian,Driving at high speed,2,Tuesday,20
31-50,M,High school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to vehicle,2,Monday,17
18-30,M,High school,Employee,Below 1yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to pedestrian,2,Monday,17
18-30,M,Unknown,Unknown,Unknown,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Reversing,Not a Pedestrian,No priority to vehicle,1,Wednesday,20
31-50,M,High school,Employee,2-5yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,Friday,22
31-50,M,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,Friday,22
18-30,M,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Friday,22
51,M,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Friday,15
31-50,M,Junior high school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Turnover,Not a Pedestrian,Moving Backward,2,Wednesday,17
18-30,M,Unknown,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,Wednesday,17
18-30,M,Junior high school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Saturday,6
51,M,High school,Employee,2-5yr,other,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Saturday,6
51,M,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,Saturday,6
51,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,1,Thursday,11
18-30,M,Elementary school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,1,Thursday,11
18-30,M,Elementary school,Owner,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,Wednesday,17
18-30,M,Junior high school,Employee,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,No distancing,2,Wednesday,17
18-30,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Turnover,Not a Pedestrian,No priority to vehicle,2,Wednesday,17
31-50,M,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Friday,17
18-30,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,Monday,10
51,M,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,Monday,10
31-50,M,Junior high school,Unknown,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Monday,10
31-50,M,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Turnover,2,Monday,10
18-30,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Driving to the left,1,Friday,18
18-30,M,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Raining,Rollover,Moving Backward,Not a Pedestrian,Driving carelessly,2,Saturday,17
18-30,M,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,Saturday,17
51,M,Junior high school,Employee,5-10yr,other,Crossing,Asphalt roads,Darkness - no lighting,Raining,Rollover,Going straight,Not a Pedestrian,Driving carelessly,1,Saturday,17
18-30,M,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,Wednesday,17
18-30,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Monday,19
31-50,M,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the right,2,Monday,19
31-50,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Fall from vehicles,Going straight,Not a Pedestrian,Moving Backward,1,Thursday,21
31-50,M,Elementary school,Other,5-10yr,Unknown,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,1,Thursday,21
51,M,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Changing lane to the right,2,Monday,13
51,M,Junior high school,Unknown,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",Driving carelessly,13:05:00,,
31-50,M,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,2,Thursday,4
31-50,M,Elementary school,Employee,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Friday,13
51,M,Junior high school,Unknown,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,2,Friday,13
31-50,M,Junior high school,Employee,5-10yr,One way,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right,1,Thursday,17
51,M,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Sunday,12
31-50,M,Junior high school,Employee,Above 10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Overtaking,2,Sunday,12
18-30,M,Elementary school,Owner,2-5yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the right,2,Tuesday,13
31-50,M,Junior high school,Employee,5-10yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,Tuesday,13
31-50,M,Junior high school,Employee,Below 1yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Other,2,Tuesday,12
18-30,M,Junior high school,Employee,5-10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Tuesday,12
31-50,M,High school,Employee,Above 10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,Tuesday,12
31-50,M,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,Tuesday,12
18-30,M,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Other,1,Wednesday,8
18-30,M,Junior high school,Employee,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,1,Wednesday,8
51,M,Above high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Rollover,Other,Not a Pedestrian,Overtaking,1,Wednesday,8
51,M,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Windy,Rollover,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,2,Friday,12
51,M,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Windy,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,2,Friday,12
31-50,M,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,Friday,12
31-50,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,Thursday,12
31-50,M,Unknown,Unknown,Unknown,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No priority to pedestrian,2,Thursday,12
Under 18,M,Junior high school,Employee,2-5yr,other,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,Changing lane to the right,2,Sunday,11
18-30,M,Junior high school,Employee,2-5yr,other,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Unknown,Not a Pedestrian,Changing lane to the right,2,Sunday,11
31-50,M,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Sunday,11
31-50,M,Junior high school,Employee,1-2yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,Sunday,11
51,M,Above high school,Owner,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Changing lane to the left,1,Monday,10
31-50,M,Above high school,Employee,No Licence,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Cloudy,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,Thursday,22
31-50,M,Junior high school,Employee,1-2yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2,Thursday,22
51,M,Junior high school,Employee,5-10yr,other,Other,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,Friday,17
31-50,M,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Friday,17
51,M,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Other,2,Tuesday,12
31-50,M,Junior high school,Owner,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,Tuesday,12
51,M,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,Tuesday,8
18-30,M,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Other,1,Tuesday,8
31-50,M,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,1,Tuesday,8
18-30,M,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,1,Tuesday,17
Unknown,F,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Wednesday,17
31-50,M,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,Moving Backward,2,Thursday,9
51,M,Junior high school,Employee,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Thursday,9
31-50,M,Unknown,Unknown,Unknown,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,Friday,18
Unknown,F,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to pedestrian,1,Friday,18
18-30,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Tuesday,19
31-50,M,Above high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Tuesday,19
31-50,M,Unknown,Unknown,Unknown,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,Tuesday,19
31-50,M,Unknown,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Tuesday,19
31-50,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,No priority to pedestrian,1,Friday,13
18-30,M,Junior high school,Employee,Above 10yr,other,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,Friday,13
51,M,Junior high school,Employee,Below 1yr,Unknown,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,Wednesday,8
Under 18,M,Junior high school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,Tuesday,13
31-50,M,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,Monday,16
31-50,M,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Monday,16
18-30,M,Above high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,Thursday,8
51,M,Junior high school,Employee,Below 1yr,Unknown,Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Thursday,8
51,M,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2,Thursday,8
31-50,M,High school,Employee,Below 1yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Other,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,Thursday,2
51,M,High school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Wednesday,7
31-50,M,Unknown,Unknown,Unknown,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Windy,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,2,Wednesday,7
51,M,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,0,Wednesday,11
51,M,Junior high school,Employee,Above 10yr,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,1,Thursday,18
Under 18,M,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,Thursday,18
31-50,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Saturday,14
18-30,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to vehicle,2,Saturday,14
Unknown,F,Unknown,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Saturday,2
51,M,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,Wednesday,17
18-30,M,High school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Moving Backward,2,Saturday,11
51,M,Junior high school,Owner,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Turnover,2,Saturday,11
51,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Saturday,11
51,M,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,Saturday,11
51,M,Elementary school,Owner,5-10yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Sunday,10
31-50,M,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Sunday,10
31-50,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,Sunday,10
31-50,M,High school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving at high speed,2,Tuesday,18
18-30,M,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,Tuesday,18
51,M,Junior high school,Employee,Above 10yr,Undivided Two way,O Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Other,2,Wednesday,13
51,M,Junior high school,Unknown,1-2yr,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Wednesday,13
31-50,M,Junior high school,Employee,2-5yr,One way,O Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",No priority to pedestrian,13:32:00,,
18-30,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Unknown,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the left,2,Tuesday,15
51,M,Unknown,Unknown,Unknown,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Thursday,9
Unknown,F,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Moving Backward,2,Monday,11
18-30,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2,Monday,11
18-30,M,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,Monday,11
Under 18,M,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,Wednesday,10
Under 18,M,Junior high school,Owner,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,Wednesday,10
31-50,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,Wednesday,10
18-30,M,Elementary school,Other,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2,Thursday,18
31-50,M,Elementary school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Thursday,18
31-50,M,Junior high school,Unknown,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No priority to pedestrian,2,Friday,18
18-30,M,Junior high school,Employee,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the left,2,Friday,18
31-50,M,Elementary school,Employee,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,Friday,11
31-50,M,Junior high school,Unknown,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Driving carelessly,2,Friday,11
